100600292	2020-04-27T23:13:03.000Z	1254911466932764681	    Faucci says that the Travel Ban prevented countless deaths	{'place_id': 'cc480e2388809012'}
1153465192208044032	2020-04-28T18:42:54.000Z	1255205867265445895	I want a beach vacay so bad! Dreaming of returning to Xel-Há... 	{'place_id': '1c69a67ad480e1b1'}
3097949516	2020-04-28T18:26:08.000Z	1255201651415285763	Visit,  , to learn more about the Texas Veterans Commission, Veteran Entrepreneur Program.    	{'place_id': '1c69a67ad480e1b1'}
946836899448180736	2020-04-28T18:14:12.000Z	1255198648033476610	Come join our little family for FDEWB Book Club tonight! If you need extra support during this crazy time come visit with us! It’s been great therapy! And talk about an awesome book. 💕💕 	{'place_id': '1c69a67ad480e1b1'}
513420206	2020-04-28T18:09:16.000Z	1255197404946628612	I need to Visit San Antonio soon.	{'place_id': '1c69a67ad480e1b1'}
20914441	2020-04-28T17:40:21.000Z	1255190126965260297	  Michael, HVAC does not transport the virus in apartment complexes, but infected droplettes have been proven to travel across open spaces. The asymptotic dinner was sitting next to output vent and it floated across dinning room to infect other dinners. As you said: due diligence.	{'place_id': '1c69a67ad480e1b1'}
230371875	2020-04-28T17:28:55.000Z	1255187249664331778	When gorgeous Birthing Place Mommy + songbird (she has such a beautiful voice, listen to her blow!)  stopped by to visit a couple of months ago. What a perfect end to clinic.🥰 Her sun Makai is turning 0️⃣next month. PostpartumCare goes beyond 0️⃣wks 	{'place_id': '1c69a67ad480e1b1'}
724662272258281472	2020-04-28T16:34:14.000Z	1255173491055374336	 We are too stupid of a society for aliens to actually visit us	{'place_id': '343ecdd7da8dfae0'}
55101105	2020-04-28T16:17:44.000Z	1255169338782425089	Where is your next vacation spot? Travel is going to be back on track soon.Everybody can afford FREE .. Let me help you save on your travels up to 0% by giving you FREE access to my travel savings portal.… 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}}
236710468	2020-04-28T15:59:38.000Z	1255164780362567680	I was out doing some virtual tours yesterday evening, and had to make a stop at a model home per a client’s request.  This time we paid a visit to the good people at Toll Brothers to see what was on display.  Hope… 	{'place_id': 'bcb210d6cf34438a', 'coordinates': {'type': 'Point', 'coordinates': [-95.2812, 29.5605]}}
234630637	2020-04-28T12:13:28.000Z	1255107866933039105	 I really don’t know. There is so much travel involved with it. It’ll be interesting to see what plans they come up with in the next couple of months.	{'place_id': '00b50e784d19b32f'}
51518963	2020-04-28T04:39:58.000Z	1254993736259514368	Travel restrictions between Texas-Louisiana will be lifted Friday  via 	{'place_id': '1c69a67ad480e1b1'}
1064030900327985153	2020-04-28T04:10:27.000Z	1254986309057249280	 Private flying machine? Lol 😂 what is that? Haha bro aliens are very much real. And Area 0– aliens live there haha I feel thats where aliens 👽 visit or the US Gov does tests there on them and such 🤷🏽‍♂️	{'place_id': '1c69a67ad480e1b1'}
2700841	2020-04-28T03:48:32.000Z	1254980794575192065	 Would love to subscribe, but every time I visit a  page, I’m assaulted with ads, videos, “suggested” articles and an overall bad experience that makes me feel like the Chronicle hates its readers.  If I subscribe, will that go away?	{'place_id': '5369fb7723bcfaca'}
1382820008	2020-04-28T03:36:46.000Z	1254977832868077569	literally Liv has a whole itinerary for when i go visit her in arizona this summer like ugh my heart 🥺	{'place_id': 'c7b527911412a784'}
722853660581957632	2020-04-28T01:37:49.000Z	1254947898715860993	I wanna be at the ranch riding four wheelers and drinking out a yeti....I miss the good days 😭 when you could travel ugh	{'place_id': '343ecdd7da8dfae0'}
2300420882	2020-04-28T00:35:06.000Z	1254932116523057152	 LeBron travel through his fouls and on top of that LeBron wasn’t getting the same type of fouls Jordan was	{'place_id': '0113368d54ff7167'}
82280837	2020-04-28T00:28:53.000Z	1254930549124325377	my ex’s friend snapped me how he finally got to visit my ex’s mom & he met my ex’s current gf & how he definitely downgraded🤣🤣🤣 i didn’t ask but got a good laugh at that lmao	{'place_id': '7a41192a2879ee24'}
607295904	2020-04-29T23:53:00.000Z	1255646296196689921	"  ""Trump has complained to aides that his restricted travel has hurt his numbers, not the briefings.""Because of course going with the old hits to 0,0 committed fans furthers the message better than daily 0hr sessions with millions everyday. Could it be the speaker?"	{'place_id': 'bcb210d6cf34438a'}
441305176	2020-04-29T23:12:58.000Z	1255636220568317952	 My planning come hell or highwater is visit family in Virginia in August and attend the    GT Challenge at  I should be getting courtesy tickets from 	{'place_id': '00f2b6161655c5cc'}
1245402399633784832	2020-04-29T23:06:04.000Z	1255634485619707904	As Texas businesses are getting ready to slowly reopen, Governor Greg Abbott is now lifting travel restrictions for people commuting from Louisiana.   	{'place_id': '1c69a67ad480e1b1'}
2274688304	2020-04-29T22:25:01.000Z	1255624154667196418	The mandatory quarantine will still apply for the following states and cities: California, Connecticut, New York, New Jersey, Atlanta, Chicago, Detroit, and Miami.    	{'place_id': '1c69a67ad480e1b1'}
441305176	2020-04-29T21:40:24.000Z	1255612927715008513	   That’s what I’m thinking who’s to say most restrictions could be relaxed by mid June. I certainly hope that is the case come August. I’ll still plan to go from Texas to Virginia to visit family. Hoping I’ll get to see the race at VIR before I come back.	{'place_id': '00f2b6161655c5cc'}
238253429	2020-04-29T20:24:04.000Z	1255593715449704449	  does the self isolation for people coming in from California only applies to people flying in and not for people arriving by car ? The wording in your executive order GA 0 only specifies air travel.  Not drive in!! Asking for a friend	{'place_id': '1c69a67ad480e1b1'}
1146051229	2020-04-29T20:06:28.000Z	1255589287481020422	One of the reasons why I want to travel to Tulum 😍 	{'place_id': '1c69a67ad480e1b1'}
2840512939	2020-04-29T18:26:56.000Z	1255564239151955969	Doctor visit so I had to pull out the acronyms!  	{'place_id': '07d9dc91c6887002'}
888276018	2020-04-29T18:08:54.000Z	1255559700218855424	EVERYWHERE!!! Can’t wait to travel again! ✈️✈️✈️ 	{'place_id': '1c69a67ad480e1b1'}
59205011	2020-04-29T18:03:49.000Z	1255558419559387137	  What if Greg Maddux can time travel?	{'place_id': '1c69a67ad480e1b1'}
1118581413564092416	2020-04-29T17:47:28.000Z	1255554307077935104	You could of course force your extremely narcissistic narrative atop someone else’s life (in payment) or travel there yourself and figure it all out without being a complete royal arse and slave...	{'place_id': '1c69a67ad480e1b1'}
2340453216	2020-04-29T16:52:20.000Z	1255540432743870464	This Friday, May 0st - Last day to guarantee your 0-0 Keith yearbook!  Visit  to purchase.  💙🐾💛           	{'place_id': '10c177cd83d69002'}
946487766	2020-04-29T15:04:28.000Z	1255513285010612234	Do something great (indoors) today!  | 🎨  / this_apron_is_for_painting / chadhks /  | 📷 streetartlibrary via visit_houston  ✈️ … 	{'place_id': '1c69a67ad480e1b1', 'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}}
946470463	2020-04-29T13:49:03.000Z	1255494308838412293	 I know amc will not play your films but I plan to definitely watch your films now. Thank you for releasing trolls and I am glad there will be two options. I plan to not visit amc because of this.	{'place_id': '1c69a67ad480e1b1'}
436773896	2020-04-29T13:46:12.000Z	1255493591084011523	‼️ Game Day 0 from BIG and Live Alive Adventures.  Recreate one of your travel photos with some at-home fun! Here is BIG adventurers Marcia and Adam with a great example!!❗️Tag us in your post 🌍❤️ and play on Insta, Facebook, or Twitter!‼️Happy playing‼️ 	{'place_id': '1c69a67ad480e1b1'}
440083207	2020-04-29T12:40:11.000Z	1255476974497288192	Hello Rams...Happy Wonderful Wednesday to you.  If this isn’t great reading weather! Please visit our virtual book fair to have new books sent directly to your house.   	{'place_id': '1c69a67ad480e1b1'}
1490137411	2020-04-29T12:20:57.000Z	1255472134786334723	Please help my friend Claire get to the U.S. to visit us at  by liking her tweet!  She’s a medical worker and huge supporter of aerospace and science education. She has a deal worked out with her employer to get a week off to visit us if she hits 0k this week. 	{'place_id': '1c69a67ad480e1b1'}
84495252	2020-04-29T06:58:18.000Z	1255390937964052480	 When I come visit Kim, I know what we are doing	{'place_id': '1c69a67ad480e1b1'}
1079926507391328256	2020-04-29T04:29:09.000Z	1255353405251477505	I’ve been cc’ed in an email that I really should not be able to see.  is holding a package in customs and this poor woman needs it badly. It contains her family members medications from India while her family is in the US to visit.	{'place_id': 'bcb210d6cf34438a'}
545492918	2020-04-29T03:39:44.000Z	1255340966246047745	Island lunch date and then visit Blather’s museum? Lmao	{'place_id': '836634cecebe2de4'}
199559567	2020-04-29T02:17:51.000Z	1255320360448393217	The new cleaning standards on aircrafts are a frequent travelers DREAM! By frequent traveler I mean me. Also, kinda disturbed they didn’t do some of these sanitizing actions to aircrafts at night before  not shocked I was sick after air travel for ▶️0 years.	{'place_id': '1c69a67ad480e1b1'}
1855174494	2020-04-29T02:17:32.000Z	1255320280999886854	  Sis, you have to visit so I can take you.	{'place_id': '1c69a67ad480e1b1'}
1241590574	2020-04-29T02:01:36.000Z	1255316271635234816	 Ily so much! I can’t wait till it’s safe to travel so I can go to Denver and hug you..then down some mimosas❤️	{'place_id': '1c69a67ad480e1b1'}
614435947	2020-04-29T01:31:47.000Z	1255308769191514115	Sad af I never got to visit 	{'place_id': '1c69a67ad480e1b1'}
136487983	2020-04-29T01:18:27.000Z	1255305414545113090	Chris having a glass ready for when Karyn came to visit has me melting 🥺😂 	{'place_id': '1eac21aedfcc3668'}
49105809	2020-04-29T00:24:13.000Z	1255291765109768193	 Does the lamebrain know a mask doesn't cover the eyes? Today's visit to Mayo made him look stupider than DJT...not an easy feat!	{'place_id': '1c69a67ad480e1b1'}
262908478	2020-04-30T22:40:29.000Z	1255990433240567812	Does trying to draw leave you feeling a bit prickly? Learn how to make it easier with our newest “Pearl at Home” art project!Visit  to download our “Blooming Cactus” instructional PDF. Share your work using    	{'place_id': '1c69a67ad480e1b1'}
2474629578	2020-04-30T22:37:20.000Z	1255989641934598145	   Travel when i grew up playing. Im not a ref. D that where i grew up at playing ball & when they call travel be prepared to fight if u dont give ball up	{'place_id': '1c69a67ad480e1b1'}
2474629578	2020-04-30T22:31:12.000Z	1255988099714351105	   That's fucking travel. & that's why them plays be on shaqin a fool laughing when the ref don't call it	{'place_id': '1c69a67ad480e1b1'}
2474629578	2020-04-30T22:14:16.000Z	1255983838494363654	   Better get rid of it before you have your kids doing it & they start turning the ball over.  Or having fights at the gym playing pick up ball when the other players call travel & the kid don't wanna give up the ball	{'place_id': '1c69a67ad480e1b1'}
135536771	2020-04-30T21:56:17.000Z	1255979312974618624	Earlier this year, my aunt discovered a precious memento during a visit to the Library of Congress in Washington D.C. Nestled deep in the library’s archived files was this still image of my beautiful mother. The now… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
1450491139	2020-04-30T21:23:32.000Z	1255971067669209095	Today is the FINAL DAY of the Committed To You Sales Event!  Call, Click, or Visit TODAY!  The fastest growing community in Spring!Call for your appointment 0-0-0!Breckenridge… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.37634564, 30.06290459]}, 'place_id': '343ecdd7da8dfae0'}
930163396892418049	2020-04-30T21:08:16.000Z	1255967227028914176	Don't underestimate the smoked turkey breast. Preorder curbside pickup available this Saturday. Visit  to place your order, cutoff Friday 0pm.        	{'place_id': '1c69a67ad480e1b1'}
115105973	2020-04-30T20:23:42.000Z	1255956010965053440	Our city has been working with with  and other chambers on best practices our businesses can follow in reopening safely. To read and learn more about these safe practices, please visit: 	{'place_id': '1c69a67ad480e1b1'}
2276753192	2020-04-30T20:09:31.000Z	1255952443285942279	Nah fr cuz I'm tryna travel ! 	{'place_id': '1c69a67ad480e1b1'}
34988592	2020-04-30T19:14:22.000Z	1255938565655142406	Don’t get me wrong, I love to travel. I work to travel. But, it’s a beautiful thing to see nature take back their space.	{'place_id': '1c69a67ad480e1b1'}
209229671	2020-04-30T18:36:42.000Z	1255929083239817219	Snack tyme trucker lyfstyle issa up... @ Beltway 0 Travel Plaza 	{'coordinates': {'type': 'Point', 'coordinates': [-95.37279673, 29.93784762]}, 'place_id': '836634cecebe2de4'}
1096434308	2020-04-30T18:36:34.000Z	1255929051019186177	With TX re-opening, testing is even more important. If you are looking for info re: testing in Brazoria County or what  to do if you if you think you have COVID-0, visit:    	{'place_id': 'bcb210d6cf34438a'}
209229671	2020-04-30T18:35:51.000Z	1255928870680788998	Ha ha no bullshit frr frr @ Beltway 0 Travel Plaza 	{'coordinates': {'type': 'Point', 'coordinates': [-95.37279673, 29.93784762]}, 'place_id': '836634cecebe2de4'}
1450491139	2020-04-30T18:19:31.000Z	1255924761911128064	Today is the FINAL DAY of the Committed To You Sales Event!  Call, Click, or Visit TODAY!  The fastest growing community in Spring!Call for your appointment 0-0-0!Breckenridge… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.37634564, 30.06290459]}, 'place_id': '343ecdd7da8dfae0'}
171218812	2020-04-30T17:40:47.000Z	1255915014847959042	Since travel is not an option for many at this time, a great alternative is to experience the world through our boutique, value centric collection of wines from around the world! Choose any 0 bottles & receive 0% off + free wine tote! Pick up in-store, curbside or via delivery! 	{'place_id': '07d9f3f4bf480004'}
2530142652	2020-04-30T17:05:11.000Z	1255906055319687168	Looks like  is planning her next travel destination....maybe she needs a companion? 	{'place_id': '1c69a67ad480e1b1'}
17398021	2020-04-30T16:06:57.000Z	1255891397380538370	Our friends  have a great meal to go option available for pre-order now to pick up this Friday and Saturday: Sabroconut Island Beer Brined Chicken, y’all! Visit their website to place your pre-order now. 🍺 	{'place_id': '1c69a67ad480e1b1'}
1068369870847467520	2020-04-30T15:30:28.000Z	1255882216695115776	Anyone else missing Birthday Parties at Cypress Sweets?! We’ll be back soon! For now, you can have diy balloon arches, crafts, snacks, sweets, and speciality beverages DELIVERED! Visit the link in our bio to place… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.5983826, 29.9734741]}, 'place_id': '1c69a67ad480e1b1'}
425951092	2020-04-30T15:01:06.000Z	1255874829229658113	  The most important difference between U.S. passport books and passport cards is that passport cards are not valid for international air travel; they're only acceptable for land and sea border crossings between the U.S., Canada, Mexico, Bermuda and the Caribbean.	{'place_id': '1c69a67ad480e1b1'}
2852627035	2020-04-30T14:56:24.000Z	1255873645882335235	I can’t travel and I’m going to be forced to vacation soon. 😔	{'place_id': '798522f39f66d411'}
1450491139	2020-04-30T14:40:28.000Z	1255869632734531584	Today is the FINAL DAY of the Committed To You Sales Event!  Call, Click, or Visit TODAY!  The fastest growing community in Spring!Call for your appointment 0-0-0!Breckenridge… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.37634564, 30.06290459]}, 'place_id': '343ecdd7da8dfae0'}
1138775067062652929	2020-04-30T14:13:54.000Z	1255862949484417025	😷 I’m seriously searching for some nice places to visit in France😭	{'place_id': '1c69a67ad480e1b1'}
375484044	2020-04-30T07:06:03.000Z	1255755278856880129	 Much love megan! I’ll try to come back and visit, probably for a tailgate if everything works out. But thank you very much ☺️💙🤍	{'place_id': '1c69a67ad480e1b1'}
348861380	2020-04-30T05:05:42.000Z	1255724988197482498	Diaspora Gone Global is a community for travelers of color to discuss their knowledge and experiences of traveling the globe and their goals for future travel. Whether you've traveled to 0 country or 0 join us!.	{'place_id': '1c69a67ad480e1b1'}
348861380	2020-04-30T05:05:41.000Z	1255724984321933312	Do you remember the feelings of excitement and anxiousness that overtakes your mind as you take on a new travel experience? Do you ever think about that crazy time in that country or state that literally changed your life? 	{'place_id': '1c69a67ad480e1b1'}
417380169	2020-04-30T03:31:24.000Z	1255701257873952770	Physically I'm here,Mentally I'm on the beach ordering my third beer.          	{'place_id': 'cddb718d9306e2f9'}
2936509783	2020-04-30T03:29:27.000Z	1255700766708334592	 Lmaoo but fr can I go visit you tomorrow at whatever hour I decide to wake up ??	{'place_id': '38d0e797745f4c5d'}
212605551	2020-04-30T02:10:10.000Z	1255680817042534401	Not able to visit Fuego Tortilla Grill, so we make our own Southern Comfort. Oh, this was so awesome, but not healthy.    	{'place_id': '7a41192a2879ee24'}
1453021910	2020-04-30T01:27:28.000Z	1255670070103195649	For just brief moment today things seemed almost  “normal” as I got to visit with  Sr. Sha’Dimon King.  She is one of just 0  female 🏀 who lettered all 0 years for  . Extremely proud of her and looking forward to seeing all that lies ahead for her. 	{'place_id': '1c69a67ad480e1b1'}
1216803387817308160	2020-04-30T01:11:40.000Z	1255666093076762625	I just wanna travel n do everything w u. Omg	{'place_id': 'c81acc12d1ef4c58'}
220752122	2020-04-30T00:55:07.000Z	1255661929382567937	Visit our new site and check out our Houston 0 collection.  @ Houston, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
3128258490	2020-04-30T00:54:10.000Z	1255661688885518344	 Welp I didn’t want to visit Georgia anyways. 🤷🏻‍♀️ 	{'place_id': '1c69a67ad480e1b1'}
16131246	2020-04-30T00:37:59.000Z	1255657617051070464	Let us cook for you tonight! Visit  for our updated menu, now with more delicious dishes to choose from. @ Red Lion British Pub 	{'coordinates': {'type': 'Point', 'coordinates': [-95.41093479, 29.74568108]}, 'place_id': '1c69a67ad480e1b1'}
566690957	2020-04-30T00:31:34.000Z	1255655999958134784	I don’t think there’s a more badass way to fly to somewhere than on an Air Force cargo plane	{'place_id': '1c69a67ad480e1b1'}
622265360	2020-04-30T00:14:43.000Z	1255651759919423488	I just wanna go to Austin and visit Waterloo Records😭	{'place_id': 'cddb718d9306e2f9'}
2711644824	2020-05-01T23:54:32.000Z	1256371459288637441	Families, visit our  website for grade level project-based learning plans! Seniors are finishing week 0 and grades pre-k to 0 are finishing week 0.  🗓 All completed assignments are uploaded in   ✏️ 💻  	{'place_id': '1c69a67ad480e1b1'}
709139229624766464	2020-05-01T23:49:55.000Z	1256370297474867201	RETAIL OPENING SALE!Buy 0get 0nd half off!Store wide saleCollection of jeans, tops, maxi’s, capes, strolls, desi outfits, jewelry.Free shipping in the US. Visit boutique by appointment. For safety, limited… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.47982, 29.72788]}, 'place_id': '1c69a67ad480e1b1'}
709139229624766464	2020-05-01T23:41:58.000Z	1256368296687022082	RETAIL OPENING SALE!Buy 0get 0nd half off!Store wide saleCollection of jeans, tops, maxi’s, capes, strolls, desi outfits, jewelry.Free shipping in the US. Visit boutique by appointment. For safety, limited… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.47982, 29.72788]}, 'place_id': '1c69a67ad480e1b1'}
709139229624766464	2020-05-01T23:35:23.000Z	1256366638879760390	RETAIL OPENING SALE!Buy 0get, get 0nd half off!Store wide saleCollection of jeans, tops, maxi’s, capes, strolls, desi outfits, jewelry.Free shipping in the US. Visit boutique by appointment. For safety, limited… 	{'coordinates': {'type': 'Point', 'coordinates': [-95.47982, 29.72788]}, 'place_id': '1c69a67ad480e1b1'}
1234916881678708736	2020-05-01T22:04:51.000Z	1256343856804777990	Check out this clip! pookeep0 streaming Travel & Outdoors!  	{'place_id': '1c69a67ad480e1b1'}
3318241207	2020-05-01T21:56:09.000Z	1256341665050230785	 Hi! I’m doing well, still up to all my crazy projects and ideas just at a new campus. I wish you could have visited, too, but don’t worry. I’m scheming & finding ways to come visit you guys next year!	{'place_id': '1c69a67ad480e1b1'}
68088682	2020-05-01T21:26:17.000Z	1256334150853816320	I want to be a plant person but after my dog needed 0 medications after yesterday’s vet visit I know FOR SURE I’m gone kill some plants. Bye.	{'place_id': '1c69a67ad480e1b1'}
557341501	2020-05-01T21:00:00.000Z	1256327536134373376	when I visit my last place that’s the only time I’m in last place 🗣 My Dude Dropped A Mixtape And The Shit Sound Like A Album	{'place_id': '1c69a67ad480e1b1'}
607295904	2020-05-01T20:58:58.000Z	1256327276930596865	 Give a little? You mean raise her acceptable death threshold. What is your threshold by the way. I don't understand why the press hasn't asked you that. Press: Mr President, what is the threshold of acceptable deaths used in your open America plan?Buffoon: I closed travel early	{'place_id': 'bcb210d6cf34438a'}
25909931	2020-05-01T20:10:32.000Z	1256315084625727489	Y’all act like y’all ain’t never been nowhere, make em fly to you and drop out 😎	{'place_id': '1c69a67ad480e1b1'}
842872940156895236	2020-05-01T20:02:21.000Z	1256313028389322758	there's places in Zac i want to visit so soon 😫😫😫 	{'place_id': '1c69a67ad480e1b1'}
171218812	2020-05-01T19:29:13.000Z	1256304688007348225	Our amazing produce staff is working to fill up beautiful, fresh produce displays while keeping health and safety of our customers and crew as first priority. Pick up in-store, order curbside or we can deliver straight to your door. Visit  to learn more! 	{'place_id': '07d9f3f4bf480004'}
26767425	2020-05-01T19:13:02.000Z	1256300614746886146	When I visit my last place the only time in last place... 🏆   @ Houston, Texas 	{'coordinates': {'type': 'Point', 'coordinates': [-95.3694, 29.7602]}, 'place_id': '1c69a67ad480e1b1'}
519914268	2020-05-01T18:34:46.000Z	1256290986763878405	With the help of community partners,   &  we’ve been able to bring a  testing site to Missouri City. The new site will begin appointments on Monday, May 0. To schedule an appointment, visit:  	{'place_id': '798522f39f66d411'}
444721913	2020-05-01T16:52:49.000Z	1256265330709626883	just want to say fuck everything & travel for a year straight eat, pray, love style	{'place_id': '1c69a67ad480e1b1'}
86778084	2020-05-01T15:06:30.000Z	1256238574170710020	Hi Movement Nation, Podcast parties will stream this Saturday at 0pm and Sunday at 0am, 0am, 0am, 0pm, and 0pm. Join us for this weeks msg from Pastor Dre & experience how the gospel can transform your life.Visit  Richard Hollis Online HUB Pastor 	{'place_id': '1c69a67ad480e1b1'}
62881210	2020-05-01T13:56:28.000Z	1256220949642428420	You know what it is when I visit	{'place_id': 'c7b527911412a784'}
930163396892418049	2020-05-01T13:53:50.000Z	1256220285386326016	You have a few more hours to get your orders in. Sold out of turkey. Brisket, pulled pork, ribs and jalapeno cheddar sausage still available. All orders come with pickles, onions and sauce. Visit  before noon to get yours.   	{'place_id': '1c69a67ad480e1b1'}
1085909037181558784	2020-05-01T13:47:32.000Z	1256218702711853056	 Why do you let them send tweets out in your name. The world knows you don't care. Your ass went down to the border to visit locked up children with a sign on your jacket letting the world know you DON'T care. SMH... and your an immigrant.  Shameful	{'place_id': '1c69a67ad480e1b1'}
575846926	2020-05-01T13:37:47.000Z	1256216249358573570	You know what it is whenever I visit	{'place_id': '1c69a67ad480e1b1'}
1010003324672905216	2020-05-01T11:40:11.000Z	1256186653414166528	Ms. Fletcher is such a devoted teacher, and her students know it! I always see something new when I visit her classes!  	{'place_id': '1c69a67ad480e1b1'}
