2021-07-12T23:01:08.000Z	1414721517825445888	Really been bumming it lately every time I go out	{'place_id': 'a5c44787002590e5'}
2021-07-12T17:56:29.000Z	1414644850302009345	“Kids leave Christianity and conservatism because they get to college and education dispels stupid right-wing brainwashing.”“I don’t know what ‘natural law’ is but it sounds like white Christian nationalism.”Same people.	{'place_id': '011add077f4d2da3'}
2021-07-12T17:33:44.000Z	1414639122958983175	So you all know how I was talking about how I wish my family in Cuba could just go out and protest but no because I have a cousin did 0 months ago and he got arrested well, you guessed it he went out and protested and and got arrested a second time	{'place_id': '00ca6959663f6d44'}
2021-07-12T17:19:44.000Z	1414635601484263425	To go out or stay in After work 🧐	{'place_id': '01a9a39529b27f36'}
2021-07-12T17:06:43.000Z	1414632322784284672	The classics never go out of style. 	{'place_id': '00c39537733fa112'}
2021-07-12T17:04:56.000Z	1414631877923807237	Really don’t know how ppl go out everyday … I need atleast 0 hours to recover 🥴	{'place_id': 'b046074b1030a44d'}
2021-07-12T16:58:05.000Z	1414630151451815948	 No, thank you. Don’t go out with misogynistic incels. Plus, I have a feeling you aren’t vaccinated either.	{'place_id': '01a9a39529b27f36'}
2021-07-12T16:54:47.000Z	1414629323194179584	 If I go out and get a grape soda, and drink it, can we be friends again ?	{'place_id': '01a9a39529b27f36'}
2021-07-12T15:56:06.000Z	1414614552713572355	i really do not wanna go to work today	{'place_id': '011add077f4d2da3'}
2021-07-12T15:52:25.000Z	1414613627252924420	“The broker said, ‘I don’t think this is going to work out because we have strict rules; we’re going to do background checks and you won’t be able to pass.’”   CC:   Read Hilton’s story: 	{'place_id': '01a9a39529b27f36'}
2021-07-12T15:38:27.000Z	1414610109766975489	My friend Denise sent me this, we went to school together lol Rater R for the one coloring book lol 	{'place_id': '0102611f55c5f14b'}
2021-07-12T15:16:03.000Z	1414604475705266178	   Agree on the Equinox credit for sure. Best membership at the club closest to my office is $0 monthly with a $0 initiation fee. Granted it's a top-end club (Rockafeller Center) but still.	{'place_id': '00ca6959663f6d44'}
2021-07-12T14:41:13.000Z	1414595708951334923	Bisi getting ready to go out 	{'place_id': '00c39537733fa112'}
2021-07-12T14:19:37.000Z	1414590274072895490	if I would’ve went to school with you… I would’ve bullied you. 	{'place_id': 'a64b09ad02cb5c61'}
2021-07-12T13:44:53.000Z	1414581532010889223	Nothing but overwhelming gratitude this morning. Getting to “go to” work is a privilege (getting to work from home is too). Working at Twitter is a dream ✨Extroverts rejoice.  	{'place_id': '01a9a39529b27f36'}
2021-07-12T12:50:07.000Z	1414567751214043138	 To a blue-collar person, steel-tipped boots are everyday workwear. They're go-to shoes for going out and doing something meaningful that makes a positive difference in their life. They'd be the first footwear popped into luggage, or popped on before leaving the house.&gt;&gt;&gt;	{'place_id': '011add077f4d2da3'}
2021-07-12T12:46:15.000Z	1414566774754906112	First day back to school vibessssss. 	{'place_id': '27485069891a7938'}
2021-07-12T12:38:39.000Z	1414564861766406150	"""Back to school"" Remember your first day? Thanks to EWR DST Alex Tejada for refreshing our Cola/RTW family on processes & familiarization.            "	{'place_id': '0fc3a64b2714f000'}
2021-07-12T06:53:05.000Z	1414477900150104065	So glad I don't live at home anymore. But funny enough I don't even go out 🤣 	{'place_id': '00c39537733fa112'}
2021-07-12T06:18:54.000Z	1414469298047881217	I’m literally obsessed with saying I’m not going out and then going out and not getting home until at least 0am	{'place_id': '011add077f4d2da3'}
2021-07-12T04:10:06.000Z	1414436882839228417	0. i first came out to my friends in 0 then when i went to college i was out to everyone except my parents and now im just out to whomever (but my parents still act like they don’t know lol)	{'place_id': '00c39537733fa112'}
2021-07-12T03:54:45.000Z	1414433018085875712	seeing my family get into relationships, go off to college, get married, having kids… then there’s me 😅🙃	{'place_id': '4788f93db732fe58'}
2021-07-12T03:10:35.000Z	1414421906762129409	 You went to school ? Cool.	{'place_id': '00c55f041e27dc51'}
2021-07-12T02:58:48.000Z	1414418941229867009	 I am glad i do not have to go to work.	{'place_id': '01a9a39529b27f36'}
2021-07-12T01:52:22.000Z	1414402219231883268	I don’t link my friends for one night & these bitches go out & do nothing but bad decisions 😭	{'place_id': '011add077f4d2da3'}
2021-07-12T01:38:30.000Z	1414398733349834753	i really only enjoy going out w select people	{'place_id': '00c39537733fa112'}
2021-07-12T01:08:19.000Z	1414391135297056772	I need to workout my lungs are going out bad😭	{'place_id': 'fa3435044b52ecc7'}
2021-07-12T00:43:51.000Z	1414384976313868288	 Hi Sarah. Nice Tribute & Remembrances Of Jono on today's show. A much beloved person & a tremendous loss. Prayers & Thoughts go out to his family. RIP God Bless	{'place_id': '011add077f4d2da3'}
2021-07-12T00:42:06.000Z	1414384537581367305	 I never went to summer camp and I didn’t go away to college. Two things that definitely provide you with interesting life experiences. College more than the camp but whatever.	{'place_id': '01a9a39529b27f36'}
2021-07-13T22:50:44.000Z	1415081286717296653	 We love to go out for dinners when home !! That why I laugh at the yanks who make little of Irish restaurants and food 🙄	{'place_id': '364a45c10832ed51'}
2021-07-13T22:18:19.000Z	1415073127680385028	This. This is why I never took my mask off indoors, even after I got shot. Also why I don’t go out with people who don’t practice indoor masking. Going out is tougher now lemme tell you but I like people who don’t want to infect my kids. I’m weird like that lol 	{'place_id': '00c55f041e27dc51'}
2021-07-13T21:06:14.000Z	1415054987084894213	just playing the charts is bool and works but if you don’t know about these other contributing factors to the broader market that do have an effect on intraday price action in equities you going out sad.	{'place_id': 'c5e2e95296cb121d'}
2021-07-13T20:25:10.000Z	1415044652852514819	States that are going out of their way to harm their residents (TN, TX, MO, etc...), it is time to move to a BLUE STATE that will look out for you.; we’ll make room. 	{'place_id': '01a9a39529b27f36'}
2021-07-13T20:09:54.000Z	1415040810479980545	 Go out with a bang....let ur name be known for generations....it should never have gone this far..first time arrested for gun violence....they need to go to jail...no excuses#	{'place_id': '011add077f4d2da3'}
2021-07-13T20:01:08.000Z	1415038607010803716	   Judge has been dominant? He has good numbers but he is far from dominant in fact I'll go out on a limb and say Gary Sanchez has been reason of more yankee's wins than judge has this season. He isn't dominant he is very popular	{'place_id': '011add077f4d2da3'}
2021-07-13T20:00:54.000Z	1415038548085035011	  i second this, most won’t really care. you only have positives to gain by people liking it. anyone going out of their way to bash art just have too much time on their hands anyway	{'place_id': '01a9a39529b27f36'}
2021-07-13T19:21:13.000Z	1415028559245156352	  All we do there is go out and find new places to eat at. Y’all ain’t doing something right lol. The foreign cuisines however is straight trash. It’s only one good Cuban spot in midtown. The Caribbean, African, Dominican, Thai, 0.0% of that shit garbage and I can’t understand why	{'place_id': '011add077f4d2da3'}
2021-07-13T19:18:59.000Z	1415027997187452929	Whoever asks first to go out to eat has to pay. Am I bugging or no	{'place_id': '011add077f4d2da3'}
2021-07-13T19:10:54.000Z	1415025963423907844	 If you like you can DM me for advise. I still don't know what type if jobs you're going out for. 😊	{'place_id': '01a9a39529b27f36'}
2021-07-13T18:51:22.000Z	1415021048366518272	 It’s really nice, especially if you’re going to school lol. Not working and just doing school full time 😃	{'place_id': '01a9a39529b27f36'}
2021-07-13T17:42:06.000Z	1415003616960712706	 Yeah bro I think so! I’m willing to go out on a limb here & make an educated guess. Purely assumption, but he was drafted w/ a savior complex/pressure on him. The team had just traded Kyrie in a nasty fall out they play the same position. Btwn that & poor environment/situation.	{'place_id': '01a9a39529b27f36'}
2021-07-13T17:15:25.000Z	1414996900336619529	 Deadass like having sex with people I vibe with and not having to go out into the screets begging for attention. Sign me up	{'place_id': 'b87b05856ab8dbd8'}
2021-07-13T16:56:31.000Z	1414992146671734785	Iont even take pictures when I go out no more	{'place_id': '926fea31818e07d2'}
2021-07-13T16:37:55.000Z	1414987463207137280	I have a missing toe nail. How tf am i supposed to go out and wear cute sandals. Tf	{'place_id': '002e24c6736f069d'}
2021-07-13T16:28:34.000Z	1414985112324825091	Rest in paradise to the dude that jumped infront of the 0 train at Atlantic. Nobody deserves to go out like that	{'place_id': '011add077f4d2da3'}
2021-07-13T16:22:01.000Z	1414983463787171843	 Go out. I dread cooking at home.	{'place_id': '01a9a39529b27f36'}
2021-07-13T16:03:44.000Z	1414978862409293829	 And it’s not like they didn’t have 0 VACCINATIONS before they went to school 😏	{'place_id': '011add077f4d2da3'}
2021-07-13T15:47:44.000Z	1414974837693497344	My heart doesn’t go out anywhere to this racist !! 	{'place_id': '01a9a39529b27f36'}
2021-07-13T15:42:56.000Z	1414973628341493763	Nigga go to work 😂 	{'place_id': '002e24c6736f069d'}
2021-07-13T15:19:45.000Z	1414967793334853635	 I know! A major achievement too! No Pasteur, no Chateau Mouton Rothschild! (When I was 0, my father bought a case—an excellent year too—one of which I pilfered when I went to college! Being a slob, unfortunately, my friends & I didn’t have a corkscrew & ended up using a knife!🤦🏼‍♂️	{'place_id': '01a9a39529b27f36'}
2021-07-13T15:15:58.000Z	1414966840946831367	As Matt Foley would say, “Why don’t you go out there, grab the world by the tail, pull it down & put it in your pocket!?” 	{'place_id': '01a9a39529b27f36'}
2021-07-13T14:23:10.000Z	1414953555119779841	So when one of these guys asked his girlfriend *the* question, it’s no surprise that she said, “Yes!” Don’t just “go to college” come to King’s! 	{'place_id': '01a9a39529b27f36'}
2021-07-13T14:23:04.000Z	1414953529815482392	And it’s not age. They’ve read 0s of pages of what it means to be an aggressively virtuous, confident man & we’ve logged 0s of hours of hard conversations. Lots of laughter, tears. They wanted to be better men. 0% of college guys are sent to school to simply make more money.	{'place_id': '01a9a39529b27f36'}
2021-07-13T14:22:54.000Z	1414953485662138377	I don't want to go to work today I want to smoke WEED	{'place_id': '01a9a39529b27f36'}
2021-07-13T13:59:52.000Z	1414947688949424136	do somebody wanna go to work for me today?	{'place_id': '011add077f4d2da3'}
2021-07-13T13:51:15.000Z	1414945523988062208	 Dam homeless guys by me pay 0 dollars!!!!! Most look like they need to get their ass up and go to work!!!!!	{'place_id': '011add077f4d2da3'}
2021-07-13T13:37:59.000Z	1414942184944640005	My god-daughter on her way to school 	{'place_id': '01a9a39529b27f36'}
2021-07-13T13:05:37.000Z	1414934038456979458	This is how I feel right now. Back to school. Back to work. Same thing. Same musical girl. Look at  Dayum! Can he show up at work today?!   	{'place_id': '01a9a39529b27f36'}
2021-07-13T12:18:08.000Z	1414922087358152704	 We should have went to some functions together. Or should in the future because the only thing that has changed is how music has sounded when I go out. Might be fun	{'place_id': '011add077f4d2da3'}
2021-07-13T12:15:46.000Z	1414921493914558466	 Maybe I should have went to school in New Jersey lol.	{'place_id': '011add077f4d2da3'}
2021-07-13T11:54:44.000Z	1414916200614830080	also, fuck capitalism. the beau was riding the hell outta me this morning but i didn't nut & he had to go to work 🥺 i will end you capitalism! 	{'place_id': '011add077f4d2da3'}
2021-07-13T10:16:45.000Z	1414891540988801043	TODAY! Tuesday, July 0, 0 LIVE at 0pm!KING TALK TUESDAYS with Andy King we will discuss “The Reset” returning to school will be my platform. [use the links below ⬇️ at 0pm] 	{'place_id': '44453d2ae8e47fd5'}
2021-07-13T10:16:30.000Z	1414891477843554309	TODAY! Tuesday, July 0, 0 LIVE at 0pm!KING TALK TUESDAYS with Andy King we will discuss “The Reset” returning to school will be my platform. [use the links below ⬇️ at 0pm] 	{'place_id': '44453d2ae8e47fd5'}
2021-07-13T04:17:34.000Z	1414801149518090241	But when I go out like this it’s a problem. 	{'place_id': '002e24c6736f069d'}
2021-07-13T03:42:31.000Z	1414792329916043266	I’m thinking about making a bunch of these for “Back To School” time. The perfect gift for that student that loves to write or protect their books! I can also customize them for your Bibles and other important books or journals.    	{'place_id': '560924d8cf3a8f3b'}
2021-07-13T03:36:14.000Z	1414790747539349504	One of these days my friends and I will go out and absolutely not drink any liquor. Yesterday was the last straw 😭	{'place_id': '011add077f4d2da3'}
2021-07-13T03:28:02.000Z	1414788685019680774	this is what going out with me be like 	{'place_id': '011add077f4d2da3'}
2021-07-13T02:31:42.000Z	1414774505721974786	LADIES!! DRINK WATER!!!! keep your nails and toes done! go shopping! chase your goals! go out to eat! take trips! stay Glowed up! have more talks w/ God! take more pictures! invest in your YOURSELF ! run that CHECK up! save up to get a bigger bag! be selfish! ENJOY YOURSELF	{'place_id': '011add077f4d2da3'}
2021-07-13T02:30:51.000Z	1414774294392053764	 Is that his normal release point? I don't think that's not going to work if he ever wants to be an NFL Quarterback	{'place_id': '25d1ef4322ba8e3c'}
2021-07-13T02:11:02.000Z	1414769305917480968	  I’ll take the Chris Berman “back back back back back back” version. It’s just hard to follow which ones go out	{'place_id': '0f6d9c748d8af8b4'}
2021-07-13T01:47:09.000Z	1414763294263500802	I’m bored and wanna go out again	{'place_id': '01a9a39529b27f36'}
2021-07-13T01:44:39.000Z	1414762668351795201	if Ohtani was going to go out early, at least he did it in style	{'place_id': '01a9a39529b27f36'}
2021-07-13T01:26:51.000Z	1414758186532409345	    I’m getting secondhand embarrassment. Our women’s team is the best in the world and they get treated like trash. Why would I go out of my way to support the men’s team that gets paid more and they suck?	{'place_id': '01a9a39529b27f36'}
2021-07-13T01:24:20.000Z	1414757554866069510	 Going out to eat	{'place_id': '00c39537733fa112'}
2021-07-13T00:20:25.000Z	1414741468095340550	I have so much clothes for going out but no friends to hang out with 🧍🏻	{'place_id': '00c39537733fa112'}
2021-07-14T23:53:27.000Z	1415459459162386442	one thing about me … ima always go out and have me a cocktail and a lil snack by my damn self !! 	{'place_id': '01a9a39529b27f36'}
2021-07-14T23:33:46.000Z	1415454503843864577	but then when i go out without it i’m class-less. make it make sense? 	{'place_id': '00c39537733fa112'}
2021-07-14T23:00:29.000Z	1415446128875671558	Do strippers ever go out tour? That'd be a cool 'thing'. Families would come	{'place_id': '00c39537733fa112'}
2021-07-14T22:57:07.000Z	1415445282318438407	 That is an accomplishment. Congrats. My in-laws are pro level and taught their dog to ring bells when he needs to go out. It’s impressive.	{'place_id': '011add077f4d2da3'}
2021-07-14T22:43:19.000Z	1415441807207542790	   Another tip: go out with your friends and have fun with them. You look more attractive when you are enjoying yourself and interacting with people you enjoy. They get to see more personality	{'place_id': '01a9a39529b27f36'}
2021-07-14T21:33:39.000Z	1415424275754983429	It’s nice and sunny I have my hair all done to go out and it’s starts fucking pouring. Today really isn’t my day	{'place_id': '00c39537733fa112'}
2021-07-14T21:20:38.000Z	1415421001274470402	Every once in a while, I remember that  with the fabulous  was the last thing I saw before I got hit by a car two years ago. Honestly, while I’m happy to be healthy and fine, what a way to go out that would have been! 😂🤣	{'place_id': '01a9a39529b27f36'}
2021-07-14T21:14:42.000Z	1415419508920094725	Why wouldn’t it rain as I go out for a run?	{'place_id': '01a9a39529b27f36'}
2021-07-14T20:40:49.000Z	1415410982038478854	  Go out and March.	{'place_id': '01a9a39529b27f36'}
2021-07-14T20:12:05.000Z	1415403750240440323	 Yeah you tripping going out with a beanie on in this climate	{'place_id': '01a9a39529b27f36'}
2021-07-14T19:48:31.000Z	1415397820396408835	We love summer! But this summer is make or break for your academic carer.Our summer series will be dedicated to enabling you to make back to school this fall        	{'place_id': '011add077f4d2da3'}
2021-07-14T18:31:57.000Z	1415378551776456710	today she told me “leave me alone i’m not going to school today” ….who is she	{'place_id': 'edd2aa964fa61ec9'}
2021-07-14T18:06:44.000Z	1415372204347469825	 Uh yes I am I might not even go to work LOL 😂😂	{'place_id': '00c39537733fa112'}
2021-07-14T17:55:33.000Z	1415369388920803331	Going out in the heatwave to get my daily giant latte and use that as my example of interacting with society for a 0 hours period.	{'place_id': '00c39537733fa112'}
2021-07-14T17:07:23.000Z	1415357270381273094	The Toasties next to my office is overrun with Barclays bros. Midtown is back, baby	{'place_id': '01a9a39529b27f36'}
2021-07-14T17:02:21.000Z	1415356003131039751	Yeah well I don't know if y'all had check this out yet but this s*** is bumping I will literally go out to the club and dance to this s*** if you agree with me retweet and like 	{'place_id': '858cec499f8adba6'}
2021-07-14T15:52:47.000Z	1415338496206774277	I really love going out to eat with my friends after a show	{'place_id': 'e993aa6b2023e210'}
2021-07-14T15:31:45.000Z	1415333203196489729	  And the election is 0 months away. They spend more time raising funds than legislating, and you expect me to go out and Mae h to demand they end the filibuster, so “we” can ram something thru which would allow “them” to do likewise on  future when donors ask nicely.	{'place_id': '01a9a39529b27f36'}
2021-07-14T15:25:00.000Z	1415331501013569537	I’m not ready to go to work 🥴 I need like another hour 🤦🏽‍♀️	{'place_id': 'fa3435044b52ecc7'}
2021-07-14T15:23:23.000Z	1415331094099075076	I’m tweeting now and will be held to it, DO NOT LET ME CHANGE MY MIND:I am not going out tonight.Doesn’t matter who texts me. Doesn’t matter how hot she is. Doesn’t matter if I drink free all night (alright w/ that maybe)We’re not letting Asher go out tonight	{'place_id': '01a9a39529b27f36'}
2021-07-14T14:26:49.000Z	1415316862250926085	i literally walked outside and this beautiful block woman was like “i fucking love your hair color. you look amazing. that shit is fire. you go to work and tell them that you are the shit” 😭 yo i love new york. and black women!	{'place_id': '011add077f4d2da3'}
2021-07-14T14:12:28.000Z	1415313249881493508	And extra special thanks to Sophia & Elizabeth for mucking out the BNS chicken coop & gathering the eggs with me.Sophia was a remote learner all year — pretty special way to come back to school. 	{'place_id': '01a9a39529b27f36'}
2021-07-14T13:13:29.000Z	1415298405824401409	0 years. It included blogs, & racist Christian radio (mainly out of Memphis), racist mail sent to my office, racists phone calls to my office, etc. It was super public. What was the public response/defense? Crickets. I was on my own. Here’s an example: 	{'place_id': '01a9a39529b27f36'}
2021-07-14T13:05:56.000Z	1415296505804636160	If you think I’m going out an paying 0 quid for darker lines and a triangle on the shoulder you’re wiling… what on earth man 😂😂😂  	{'place_id': '00c55f041e27dc51'}
2021-07-14T12:18:40.000Z	1415284611291222016	So proud of my girlfriend for going back to school and getting that advanced degree 🥰☺️ 	{'place_id': '01a9a39529b27f36'}
2021-07-14T12:13:36.000Z	1415283335354621955	Now, a GOP policy platform is to have government go out of their way to NOT do anything to encourage kids to get vaccinated. And not just for COVID, but against all diseases. Its not actually surprising that a political death cult would be anti-vax and anti-kids' health. 	{'place_id': '011add077f4d2da3'}
2021-07-14T11:31:37.000Z	1415272769294635009	So I’m going out with my guy friends Saturday & we have a groupchat & they dont want me to dress like a “bad bitch” they want me to dress like them (tomboyish) like i usually dress lmaoo and idk if i should feel offended	{'place_id': '011add077f4d2da3'}
2021-07-14T07:19:34.000Z	1415209340106067968	      Okay great... meanwhile people that bought 0k worth of Million last week ago, can go out and buy 0 btc today with their gains.	{'place_id': 'b046074b1030a44d'}
2021-07-14T05:20:47.000Z	1415179448320761858	if u ask me to go out and u know my hair not done u clearly don’t care about me	{'place_id': 'fa3435044b52ecc7'}
2021-07-14T05:09:26.000Z	1415176590208667650	i can’t go out like tupac’s patna’s in “juice”.	{'place_id': 'c5e2e95296cb121d'}
2021-07-14T03:43:56.000Z	1415155072410005504	 I just asked can i take u out ? And i don’t remember verbatim what he said it was almost 0 years ago. He admitted to me like 0 years ago that he didn’t think he was up for my par to go out w/ me. He has a job at footlocker i believe and felt like he ain’t male enough money.	{'place_id': '01a9a39529b27f36'}
2021-07-14T02:36:32.000Z	1415138110829105153	 literally same and now it’s too late to go out for food for dinner	{'place_id': '01a9a39529b27f36'}
2021-07-14T02:21:50.000Z	1415134411213922304	 STG I just became a MLB fan today	{'place_id': '01a9a39529b27f36'}
2021-07-14T01:37:18.000Z	1415123205682044929	My wife is going out of town for a weekend and I’m already on the Taco Bell website thinking about what I’m going to eat while she’s gone	{'place_id': '01a9a39529b27f36'}
2021-07-14T01:16:02.000Z	1415117852227551239	 THATS HAPPENING AS WELL & I PROMISE IT’LL BE THE HOTTEST, BEST ‘QUALITY’ ‘’DESIGNER’’ MERCH YOU HAVE EV0R SEEN FROM ANY0✨🤍💖(it’ll be a hot second before this all starts going out, but expect the album wayyy sooner than the merch)	{'place_id': '01a9a39529b27f36'}
2021-07-14T00:34:35.000Z	1415107420687413250	  I stayed on the resort most of the time so I’m not sure how it is going out in the towns. However, the curfew was lifted on the 0st of July	{'place_id': '00c39537733fa112'}
2021-07-15T23:48:18.000Z	1415820551227068417	Like literally go to school, but you probably can’t get in?	{'place_id': '01a9a39529b27f36'}
2021-07-15T22:44:29.000Z	1415804492306685956	My dog is mad annoyed bc it’s 0 pm & he wanted to do his am walk since I’ve been quarantined mad long with Rona & can finally go out. I decide to go thru my 0th grade language arts notebook I found last night while trying to find a dead homies handwriting for a mutual friend	{'place_id': 'b87b05856ab8dbd8'}
2021-07-15T22:27:03.000Z	1415800102032130054	 Mine was good if you went to school in Ohio	{'place_id': '01a9a39529b27f36'}
2021-07-15T22:05:08.000Z	1415794586224635913	If any of you simps do this to me I will go out of my way to introduce my boot toe to your taint 	{'place_id': '011add077f4d2da3'}
2021-07-15T21:45:44.000Z	1415789705497620484	Stall cleared in  on I-0 (Van Wyck) SB at Union Tpk Ramps/X0 (SB), stopped traffic back to College Point Blvd/x0A (SB)  	{'place_id': '00c39537733fa112', 'coordinates': {'type': 'Point', 'coordinates': [-73.82633, 40.71739]}}
2021-07-15T21:15:19.000Z	1415782050779516936	  Not even going out.	{'place_id': '01a9a39529b27f36'}
2021-07-15T20:40:44.000Z	1415773346927714304	Disabled vehicle, right lane blocked in  on I-0 (Van Wyck) SB at Union Tpk Ramps/X0 (SB), stopped traffic back to College Point Blvd/x0A (SB)  	{'place_id': '00c39537733fa112', 'coordinates': {'type': 'Point', 'coordinates': [-73.82633, 40.71739]}}
2021-07-15T20:24:13.000Z	1415769192238825473	Renters should get their shit together or they will go out of business 😬 	{'place_id': '01a9a39529b27f36'}
2021-07-15T20:19:25.000Z	1415767981678866434	👀 I should go out tonight	{'place_id': '559cf1d51980ff42'}
2021-07-15T20:01:59.000Z	1415763595569287172	I was supposed to go out to see a live theater show last night and I’m supposed to go see a live performance tonight and honestly I just wish I could watch them on my computer.	{'place_id': '01a9a39529b27f36'}
2021-07-15T19:52:14.000Z	1415761142786502661	I was fortunate as a teen from 0th grade to college to grow up at   where my love for nature, botany & importance of inquiry teaching bloomed in me. Make sure you visit connect with nature,invite  friends & family to BBG it’s something for everyone any age. 	{'place_id': '011add077f4d2da3'}
2021-07-15T19:46:27.000Z	1415759687820136456	Going to work so easy now 🤗 I be having no problem getting my ass up .. I want to keep this energy even on my days off 🤞🏾🙏🏾	{'place_id': 'b046074b1030a44d'}
2021-07-15T19:06:29.000Z	1415749628385976326	Expanded Child Tax Credit payments to eligible families will start going out today! The maximum credit under the program is $0 per month for each child under age six and $0 for each child ages six to 0. (0/0) 	{'place_id': '00c39537733fa112'}
2021-07-15T17:37:27.000Z	1415727220836929543	If I don't end up going out today, you bet your ass for a 0rd night in a row I  will be going live👀 most likely around the same time 0/0pm if I do!	{'place_id': 'c67a441f9f6acc50'}
2021-07-15T17:27:43.000Z	1415724774874132485	That’s right twitterverse. We had the  debut at college radio this week, comin in hot at  Thanks to college radio for basically saying “sorry music industry, we love this band and will die on this hill”. Also, get us on the bill! 	{'place_id': '011add077f4d2da3'}
2021-07-15T16:36:25.000Z	1415711862004539396	Not even gonna continue to stress myself out over this stupid shit, I’m for damn sure not going out my way blowing anymore bread on that either.	{'place_id': '01a9a39529b27f36'}
2021-07-15T15:18:12.000Z	1415692177343135744	Second half of the season starts today, I will put my negative opinions aside for the time being in hopes that this team truly does turn it around. Huge series against the Red Sox this weekend. I want to see this team go out and win three or four at the minimum 	{'place_id': '00c55f041e27dc51'}
2021-07-15T15:08:03.000Z	1415689626413674499	gonna go out on a limb here and say the reconciliation bill doesn’t live up to the hype 	{'place_id': '01a9a39529b27f36'}
2021-07-15T14:42:24.000Z	1415683169790029834	I can just get up and go to work then! Score! 😆 	{'place_id': '01a9a39529b27f36'}
2021-07-15T14:14:35.000Z	1415676170180329474	Today edition of Throwback Thursday, this is my dorm room when I going to school in Switzerland 🇨🇭. I didn’t have a roommate in my first year but in my second year I did 	{'place_id': '0687589242640f20'}
2021-07-15T13:41:54.000Z	1415667943698927630	Ight, I’m feeling so much better today. What’s the move tonight NY? I can go out and play now…	{'place_id': '011add077f4d2da3'}
2021-07-15T13:33:17.000Z	1415665776833568769	In High School. We was really coming to school with a BaconEggAndCheese and these chips at 0am lmaooo 	{'place_id': '27485069891a7938'}
2021-07-15T12:10:02.000Z	1415644827543298049	These are conditions our mothers work in. They see people dying every single day and even with no salary raises they are still expected to shut up and go to work 	{'place_id': 'b046074b1030a44d'}
2021-07-15T12:08:04.000Z	1415644329016766464	Returning to my office for the first time in 0 months 	{'place_id': 'e9143a85705b4d40'}
2021-07-15T08:44:51.000Z	1415593191626117125	whenever i go out im always like why is no one else sweating like me	{'place_id': '01a9a39529b27f36'}
2021-07-15T03:51:26.000Z	1415519350765891586	To be clear, I’m not talking about trash generated by street dining, but the normal 0-foot mountains (yes we passed a neatly stacked 0-foot trash mountain) of black bags and clear bags and cardboard and broken shit that just go out onto the sidewalks in front of buildings.	{'place_id': '00c39537733fa112'}
2021-07-15T03:32:38.000Z	1415514617443463170	Back to school drive for East Harlem. Please help!! 	{'place_id': '01a9a39529b27f36'}
2021-07-15T03:03:44.000Z	1415507345300467715	me going out to the club on a wednesday 	{'place_id': '011add077f4d2da3'}
2021-07-15T02:47:42.000Z	1415503310065475584	 Jeez, just go out for dinner already.	{'place_id': '01a9a39529b27f36'}
2021-07-15T02:31:06.000Z	1415499131385176064	i need to go out and get cute asap🥺	{'place_id': 'fa3435044b52ecc7'}
2021-07-15T02:15:28.000Z	1415495199720099841	  Former Denver beat writer, and a man that knows football. Trade him and get something, or sit on him and go to work with Love and limited future currency. Pretty simple equation.  Trade the dude and think about the long term. Getting a chunk of picks is the move.	{'place_id': '4a4c49cb161a4eb9'}
2021-07-15T01:41:12.000Z	1415486575870418954	To Stay Home Or To Go Out	{'place_id': '011add077f4d2da3'}
