197194192	2020-11-16T22:28:29.000Z	1328464989431025664	Osos 🐻🐻🐻🐻              en Cloud Gate 	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.62331605, 41.88267808]}}
23559244	2020-11-16T17:10:07.000Z	1328384867734855680	   No it isn't. Also they would have to visit every freaking state and also have policies that work for rural, urban, suburban.	{'place_id': '1d9a5370a355ab0c'}
31412095	2020-11-16T16:59:40.000Z	1328382238615080962	 I have a lot of opinions.You’re telling me that after winning in D0, not a single Duck played travel hockey?How does Gordon get the Team USA nod over Riley, who’s won consistently for 0 yrs?Why does nobody notice that the team consistently plays better when Charlie sits?	{'place_id': '1d9a5370a355ab0c'}
54784497	2020-11-16T16:13:32.000Z	1328370627376459776	What  is building with the Ari Foundation is truly astounding, and yesterday’s Turkey Drive in Gary, Indiana was a testament to that. Glenn, Ari and  have more exciting things in store, visit  to support & learn more about the mission. 🦃 	{'place_id': 'ecbe21c16e88f161'}
818014	2020-11-16T16:06:53.000Z	1328368955640016896	  The form does not load on apple iOS phones !  Are you kidding me?All travelers coming to NYS from areas beyond the border states (NJ, CT, PA, MA, VT) must fill out this form (	{'place_id': '1d9a5370a355ab0c'}
995645852	2020-11-16T15:48:30.000Z	1328364327020212224	Thanks for joining us this weekend! Visit our  website for daily reflection on The Jesus Perspective at  	{'place_id': '1d9a5370a355ab0c'}
40450439	2020-11-16T15:38:37.000Z	1328361841668591624	Worth your visit to check out the sales and all the new merchandise! 0-0-0 shipping extra.    	{'place_id': '107ffde2a954d000'}
1029793559363416068	2020-11-16T15:22:58.000Z	1328357905138069505	Great thread about some good news on the  front and what it means for travel down the road ⤵️  	{'place_id': '1d9a5370a355ab0c'}
957848107	2020-11-16T15:19:09.000Z	1328356941731672064	Staircases this week. First up, a little visit to Paris and the Musée Carnavalet👀⬆️/👀⬇️ 	{'place_id': '1d9a5370a355ab0c'}
731902458222551040	2020-11-16T15:13:28.000Z	1328355510458998785	In chicago till i fly to Atlanta im bumping straight kanye til i leave!	{'place_id': '1d9a5370a355ab0c'}
318060903	2020-11-16T15:11:53.000Z	1328355114818605057	Please join us tomorrow 0/0 at 0:0AM for a VIRTUAL OPEN HOUSE. Enjoy presentations from  and the  community, ask questions, & explore all that we have to offer your child! RSVP:    	{'place_id': '1d9a5370a355ab0c'}
802659629666893824	2020-11-16T15:10:17.000Z	1328354710559010817	Shop over 0 items in our online store safely from your home! • Visit Us From Your Home @  ____          	{'place_id': '07d9d69b5a084004'}
219354584	2020-11-16T14:41:08.000Z	1328347377510576128	This ya'll boy? 😂😂😂You guys are lunatics and need to visit your therapist more.He's literally pouting and just saying sh*t at this point.You support this man?And I thought you were smart this entire time.Wow. 	{'place_id': '1d9a5370a355ab0c'}
785324357979516928	2020-11-16T14:40:13.000Z	1328347144537903105	 Wait, so we didn’t visit the girlMs dorms? This takes out all the fun.	{'place_id': '1d9a5370a355ab0c'}
155925154	2020-11-16T14:35:38.000Z	1328345991548981250	     I am stunned you have never been downtown. You might change your mind this is brand new resort. I’m going for my big birthday In June and plan to at least see it. I can help you as I am a 0 year travel agent just dm me. Thx	{'place_id': 'b23478d3162b126e'}
4158641698	2020-11-16T13:59:58.000Z	1328337014861729792	This Thanksgiving it may be hard to visit family so Zoom is extending the limit on all meetings Thanksgiving day!!🍂🦃 	{'place_id': 'e2c96cf8c0a43c1d'}
2508421471	2020-11-16T12:28:22.000Z	1328313963130531840	Can i just make money to travel	{'place_id': '1d9a5370a355ab0c'}
158612330	2020-11-16T05:14:36.000Z	1328204802036273154	Really wish I woulda taken a year or 0 to travel	{'place_id': '5b0b1baf24cf0a6a'}
1143789940951715842	2020-11-16T03:02:09.000Z	1328171471043223552	 extends a great offer to  athlete Nfamara Manneh after a great visit to the 0’s premier DIII team! Congratulations from  on your hard work paying off, Nafo! More coming! 	{'place_id': '1d9a5370a355ab0c'}
861986568566960128	2020-11-16T02:35:45.000Z	1328164824954646529	I’m really concerned for my weed man and all this traveling he do in the middle of a panny 🥴🤯😬	{'place_id': '1d9a5370a355ab0c'}
3315304974	2020-11-16T01:54:33.000Z	1328154456496738304	 Travel, travel, travel	{'place_id': 'd73cbce54317ffaa'}
16482955	2020-11-16T01:40:07.000Z	1328150826125320192	I love this movie already. I’m always a sucker for time travel movies 	{'place_id': '7c9d51a2fd0a7552'}
25009031	2020-11-16T01:04:10.000Z	1328141780336979972	Come visit (on-line/in-person) ’s   in Lakeview thru December 0:          	{'place_id': '10f7d00ddd97b000'}
3276222588	2020-11-16T00:52:17.000Z	1328138788351193088	It was selfish to travel (though I took every possible precaution and did not go anywhere aside from my brother’s house) but I needed to see my family. My mental health depended on it. We have gone through absolute hell.	{'place_id': '1d9a5370a355ab0c'}
20088570	2020-11-16T00:30:29.000Z	1328133300880289792	 Everything you said. It’s infuriating. I have a childhood friend that’s posted photos of traveling this whole pandemic. I hope these fuckheads don’t kill my mom, who has had to work crazy hours at the hospital and is a cancer survivor.	{'place_id': '1d9a5370a355ab0c'}
771050384299261956	2020-11-17T22:56:42.000Z	1328834475678175235	Clean and ready for those who need to travel during the holiday! 	{'place_id': '1d9a5370a355ab0c'}
612107969	2020-11-17T22:42:49.000Z	1328830981671890947	Dearra IG is therapeutic it just shows looks for daysss, dream travel destinations she’s been to, and the good times with her fiancé 😭🥰	{'place_id': '1d9a5370a355ab0c'}
59829675	2020-11-17T22:09:49.000Z	1328822677616791552	WE’RE CRAVING ARAMI. That is all. 🍣🥢Carryout and delivery available 0 night per week, 0-0pm. Visit  for all the sushi.📸: Reposted from  @ Arami 	{'coordinates': {'type': 'Point', 'coordinates': [-87.6733828, 41.8956691]}, 'place_id': '1d9a5370a355ab0c'}
1216206826502524929	2020-11-17T21:38:35.000Z	1328814819584172032	Waiting to fly to see my love in Vegas 	{'place_id': '1d9a5370a355ab0c'}
1312152922629828608	2020-11-17T21:12:04.000Z	1328808146727526404	  I'm watching him now he's staying in Chicago. Even if he did travel it's not like me. He's a billionaire(for real) they fly private.  rallies in cars with mask? Y'all going to make Dr Ngozi cry again. Let's all do our part. I'm staying out of  Christmas 😢	{'place_id': '1d9a5370a355ab0c'}
294936705	2020-11-17T21:10:17.000Z	1328807697723125763	Come visit 🥺 	{'place_id': '1d9a5370a355ab0c'}
264583531	2020-11-17T20:50:45.000Z	1328802782456016898	Had the whole “I can’t travel safely back for Christmas” conversation with my parents last night. It’s inevitable and the right decision, but still stings. They are both 0 and, as difficult as my mother is, there can’t be too many more holidays I get with her.	{'place_id': '1d9a5370a355ab0c'}
485212715	2020-11-17T20:26:31.000Z	1328796680691576837	Precious talking bout she wanna fly to New York just to go to the Chanel store, Ian gon lie... I’m down 😭	{'place_id': '1d9a5370a355ab0c'}
65661702	2020-11-17T19:45:04.000Z	1328786249306546180	 Sweet sweater memories, and memories of traveling days 😭	{'place_id': '1d9a5370a355ab0c'}
873339022227025922	2020-11-17T19:20:52.000Z	1328780159122628611	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '1d9a5370a355ab0c'}
1237149610369523716	2020-11-17T19:20:38.000Z	1328780102663069700	0 Hotels to Visit in Your Dreams 	{'place_id': '1d9a5370a355ab0c'}
213696414	2020-11-17T19:15:02.000Z	1328778694429712391	   is committed to providing a safe, clean 🧼 healthy and stimulating environment during this  for MORE info visit info for any additional concerns as you book your 🕰 time slot. Ticket 🎫 info at  ❤️🌸🌼 	{'place_id': '1d9a5370a355ab0c'}
67547908	2020-11-17T18:59:38.000Z	1328774818192384002	 Your first visit ?	{'place_id': '1d9a5370a355ab0c'}
15231758	2020-11-17T18:56:13.000Z	1328773958410317827	  Right! It's possible to ship or travel with best intentions and still lose. I know Formulator keeps stats on trainers who ship.	{'place_id': 'b1ca84ec4c7a122e'}
4691008230	2020-11-17T18:24:29.000Z	1328765971285352448	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': 'b1ca84ec4c7a122e'}
486428420	2020-11-17T18:14:32.000Z	1328763465570398208	Happy Birthday to Bitch ass fuck ass ugly ass irritating ass ruined a entire ass year ass Bitch Covid ... Girl I hope you traveling somewhere else 	{'place_id': '1d9a5370a355ab0c'}
278344972	2020-11-17T18:12:46.000Z	1328763021649469443	I used to be so carefree when I was younger. Traveling, no money, no care in the world. Now look at me. Just a ball of stress and anxiety all the time 🙄🙄🙄	{'place_id': '1d9a5370a355ab0c'}
1022252821197086721	2020-11-17T17:59:37.000Z	1328759711882240002	                       	{'place_id': '1d9a5370a355ab0c'}
257970973	2020-11-17T17:35:56.000Z	1328753751650414593	😭😭😭 Brie please visit my animal crossing town someday! 🙏 ❤️Not  her town full of weeds! Lmfao 	{'place_id': '1d9a5370a355ab0c'}
2348369840	2020-11-17T17:25:05.000Z	1328751022169333760	This makes me so sad. But if it helps  of  - I’m happy to visit the fish next year   	{'place_id': '1d9a5370a355ab0c'}
1071173855870402560	2020-11-17T17:13:23.000Z	1328748076920664064	 Plus, living in the northeastern corridor is great because you have easy travel to all the other cities up there (Philly, DC, Boston...)	{'place_id': '1d9a5370a355ab0c'}
874613729853394944	2020-11-17T16:48:05.000Z	1328741711309393927	🔎 Visit  for a link to our most recent email with detailed event and registration information. 🎧🎛Join early for an exclusive event kick off with  from 	{'place_id': '1d9a5370a355ab0c'}
48650395	2020-11-17T16:46:36.000Z	1328741337139720199	Travel 	{'place_id': '1d9a5370a355ab0c'}
285437093	2020-11-17T16:29:06.000Z	1328736932860473346	 In our defense it normally is when they’re around the corner. Sound doesn’t travel that well if they aren’t facing us. 🤣 Then I get the old walk up behind me while I’m going so I can hear better.	{'place_id': '454e631ab87f60a6'}
1225887375345274881	2020-11-17T16:25:24.000Z	1328736003033608193	Come visit us today to upgrade to the new IPhone 0, 0 Pro, & 0 Pro Max!! We have deals for new & existing customers!!! 	{'place_id': '50f296a1bd4198b6'}
1656450902	2020-11-17T15:42:57.000Z	1328725319256317964	My parents have pictures, books and paintings of them from traveling around the world together, all over our home. It’s so precious 🥺	{'place_id': '8b351eeb91372dc7'}
22885690	2020-11-17T15:31:51.000Z	1328722525153603584	Luv from the chi ⚡️‼️ visit us at  -🙎🏾‍♂️: 📸:  @ Chicago, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
620599710	2020-11-17T15:25:23.000Z	1328720901152645121	The nerve of people to preach social distancing while they go out partying and traveling as if there’s no pandemic is beyond me. 	{'place_id': '1d9a5370a355ab0c'}
116074665	2020-11-17T15:19:38.000Z	1328719453333434370	 You bet... After living in the states for 0 years and very active traveling to USA and Canada, I can tell you the police in PR is 0 years behind. The reform was a waste under  someone with great exposure in USA military and society. Very ambiguous, no vision. 	{'place_id': 'ed888f00de07aa3a'}
1029793559363416068	2020-11-17T14:56:12.000Z	1328713554770407426	Happy  my friends!! 💙Sometimes travel means traveling locally through your stomach — I found the cutest cafe in  recently and enjoyed a scrumptious apple danish and  on the patio!What’s been your latest local-travel discovery? 	{'place_id': '0fc2cecf7ed46000'}
289506686	2020-11-17T14:46:00.000Z	1328710986132578305	 Gotta go with an SSD. This is my go to when traveling. I’ve used for 0+ years, no issues. Check out the SanDisk 0TB Extreme Portable External SSD -	{'place_id': '1d9a5370a355ab0c'}
418186707	2020-11-17T14:25:30.000Z	1328705828350783490	 please don’t travel for Thanksgiving and lead by example. It will help save lives.	{'place_id': '1d9a5370a355ab0c'}
18958456	2020-11-17T14:09:15.000Z	1328701739730612225	 Yes it is. I remember my mother reading  and we would look through the magazines that came like LIFE and  and House Beautiful. It nurtured my love of reading and my love of travel and turned me into a 	{'place_id': 'c8b021ffd0c94ffc'}
892462586	2020-11-17T07:44:52.000Z	1328605004509409280	NCL Free at Sea promo.   @ Pixie Dust & Paradise Travel, Inc. 	{'coordinates': {'type': 'Point', 'coordinates': [-87.7005, 41.6965]}, 'place_id': '1d9a5370a355ab0c'}
66562613	2020-11-17T05:53:46.000Z	1328577048227536896	Chicago will alway be my favorite city to visit! 	{'place_id': '1d9a5370a355ab0c'}
264043590	2020-11-17T04:49:21.000Z	1328560834684063744	  Wasn't that the MOST unsympathetic tweet you ever heard? Hope you feel better traveling in the future?? Seriously?? I called  to investigate. This shit ain't right. And fuck the mayor too. All they care about is your $0.0.	{'place_id': '1d9a5370a355ab0c'}
634995315	2020-11-17T04:24:32.000Z	1328554589990363137	 I am my Mother's daughter.  No doubt.  When I visit back home, people at first think I'm her.	{'place_id': 'f04813ea26f51186'}
791298394492923904	2020-11-17T02:58:15.000Z	1328532876095344640	What a Great Visit ! Thanks for your hospitality and the offer , Coaches ! 💪🏻 	{'place_id': 'c8b021ffd0c94ffc'}
1265366944523464706	2020-11-17T02:14:30.000Z	1328521868563935233	I am available now in Chicago, Illinois, United States! To contact me, visit 	{'place_id': '4b3758bc32868265'}
350546901	2020-11-17T02:11:19.000Z	1328521064398397442	When my Friends from  came to Chicago to visit, I had the time of my Life!🍾🥳🥰🤩🥳🤩🥰I also got to see that IN Chicago I don't have friends here, associates to be honest and acquaintances at best... 😑Showing Up cost nothing. 🤷🏾‍♂️	{'place_id': '1d9a5370a355ab0c'}
240971662	2020-11-17T01:25:24.000Z	1328509511192207362	Speaking of books, I watched Dash & Lily so now it’s time to daydream about my visit to The Strand and The Morgan Library with  and break out an old, formative favorite 	{'place_id': '1d9a5370a355ab0c'}
536948550	2020-11-17T01:24:15.000Z	1328509221969817601	Just realized that I only packed PANTS and no shorts for my visit home. I've lost touch of my roots	{'place_id': '1d9a5370a355ab0c'}
797886046684008448	2020-11-17T00:52:02.000Z	1328501112140419073	Hey ESPN analysis you know who I’m talking about are you guys on Monday night. I’ve been watching Dexter for a week and a half now don’t make me come over and pay you a visit LOL.	{'place_id': '222efb7ee8b98c58'}
493703910	2020-11-17T00:28:24.000Z	1328495165997191170	 👍 you tell it as it is 😀 under normal circumstances people do not visit their families in years but for some strange reason all of them want to visit their family this year. 🤔🤯🤯🤯🤯	{'place_id': '1d9a5370a355ab0c'}
43913978	2020-11-17T00:21:10.000Z	1328493346751467521	 Agreed. That’s why it’s a rule when traveling through Indiana or Michigan you have to stop at every single one you pass for a blizzard	{'place_id': '1d9a5370a355ab0c'}
771050384299261956	2020-11-17T00:04:17.000Z	1328489097191624705	Some fun travel tips, don’t forget to take a few of your favorite masks and snacks! 	{'place_id': '1d9a5370a355ab0c'}
907404836135731200	2020-11-18T23:32:29.000Z	1329205868072742913	I hate that I can't travel to Ohio to see my parents over Thanksgiving, but I'm pretty excited about knitting without stop for four straight days. 	{'place_id': '1d9a5370a355ab0c'}
286113908	2020-11-18T23:11:45.000Z	1329200651331571729	 I hung out @ the comedystore 0 the last year Covid made me move to my hometown Chicago I was doing a bunch of ketamine & 🎧 to you w/ColinQuinn on HBO, I think NikkiGlaser Once said youre the funniest person ever & then I watched your standup special SOG, And Im all In	{'place_id': '1d9a5370a355ab0c'}
1219163299	2020-11-18T21:53:23.000Z	1329180930662162432	 Time to stop cooperating with madness and incompetence and ignore the restrictions and lockdowns. Civil disobedience. Get out, visit friends, go to restaurants and clubs, fave fun. If not a nursing home resident, 0.0% you will be fine.	{'place_id': '1d9a5370a355ab0c'}
323609246	2020-11-18T20:42:16.000Z	1329163034854617091	  I’m in the same boat. We’re staying put for Thanksgiving this year and all around me friends are traveling, many of whom are taking precautions but some who are not. I don’t speak to those who are more reckless; I just can’t.	{'place_id': '1d9a5370a355ab0c'}
2440531274	2020-11-18T20:10:50.000Z	1329155124070068228	 Can I visit as a former  dolphin?! 🤗	{'place_id': 'cdf74b55fc0d4600'}
16584283	2020-11-18T18:50:55.000Z	1329135012873166856	How to be very, very afraid?   	{'place_id': '1d9a5370a355ab0c'}
17468756	2020-11-18T18:38:39.000Z	1329131922392576001	Just a Birdie stopping by for a visit. 	{'place_id': 'a3c3c2f3573eacf7'}
3125800171	2020-11-18T18:10:14.000Z	1329124774472249348	Nice to have  ‘visit’  for a seminar today. Getting enough good data is always an issues with developing workflows. Truth. Check out the most recent paper on using HSQC data for dereplication   	{'place_id': '1d9a5370a355ab0c'}
349950378	2020-11-18T18:02:33.000Z	1329122840801587201	After today I’m not traveling or going on vacation in the states no more..	{'place_id': '1d9a5370a355ab0c'}
861986568566960128	2020-11-18T17:53:43.000Z	1329120614678978564	 Yeah it’s the connection for me. I always have issues with service when I’m traveling. If you’re staying in a rural area you can definitely forget about having service.	{'place_id': '1d9a5370a355ab0c'}
51006787	2020-11-18T17:18:51.000Z	1329111841595920388	I cannot fathom the absurdity of having these guys fly to all corners of the world IN THE MIDDLE OF A GLOBAL PANDEMIC 	{'place_id': '1d9a5370a355ab0c'}
1286413582587047938	2020-11-18T17:07:56.000Z	1329109096033824769	I just called & got 0/0 of my annual fee waived for my credit card & I’m pretty thrilled 🥳 PS: the fee is high AF, but the travel benefits have always more than paid for it in the past. Not traveling this year though = not the case.Plan to call in Jan about the other 0/0🤞🏽	{'place_id': '1d9a5370a355ab0c'}
394391208	2020-11-18T16:45:15.000Z	1329103387439280132	The irony of not having anyone visit my new apartment since I moved is that, well, honestly...it’s not such a horrible idea in this day and age to avoid folks.  😉	{'place_id': '001dfcdd3eb26fdb'}
1102924608	2020-11-18T16:35:47.000Z	1329101004650975235	We are a week away from what is traditionally one of the busiest travel days of the year. However, it is not too late to rethink your travel plans due to COVID0. With the surge in new cases all across the Country, please consider visiting Grandma over the WiFi and thru the Zoom. 	{'place_id': '2180fafeb49b5684'}
35956300	2020-11-18T16:11:36.000Z	1329094917759660032	Can he come visit please 	{'place_id': '1d9a5370a355ab0c'}
44828230	2020-11-18T16:11:33.000Z	1329094905432584192	Missing Africa this year 😪 we’ve spent Thanksgiving in the bush for the past 0 years, and of all the traveling we are fortunate to do, there is nothing that I look forward to more than time in the African bush, life changing experiences like no other! Can’t wait to get back  	{'place_id': '1d9a5370a355ab0c'}
15586371	2020-11-18T16:04:12.000Z	1329093055073443842	  Growth will come from increasing “birth” of automated machines. They will be the dominant consumers & essentially it will be the giant corporations who will not only control supply but also control demand. 0% of Humans are f*cked.  Why the 0% is scrambling to fly to moon/mars😬	{'place_id': '1d9a5370a355ab0c'}
1269762154372255746	2020-11-18T15:34:18.000Z	1329085532106674176	It’s selfish to take a covid test just to have a thanksgiving dinner in my opinion my sister who HAS covid badly had to wait four hours to get a test yesterday... don’t take up tests that others desperately need just to travel or have a gathering for fun....	{'place_id': '1d9a5370a355ab0c'}
43938094	2020-11-18T15:05:43.000Z	1329078336602050561	Sylvia actually came to visit me via sleep paralysis the night after she died, all I could see is a shadow figure but I knew it was her bc of her distinct hair style, she also took my sun chips lmao she was lowkey one of the 0st spirits to make themselves known to me.	{'place_id': '1d9a5370a355ab0c'}
2878794142	2020-11-18T13:30:26.000Z	1329054360484122624	Looking for the next great Cinematographer (DP) and Gaffer? ChiCityGaffer is the ultimate go to get the best content! Visit ( you can contact for  info & inquiries!        	{'place_id': '1d9a5370a355ab0c', 'coordinates': {'type': 'Point', 'coordinates': [-87.58531461, 41.75599498]}}
7839082	2020-11-18T06:01:16.000Z	1328941321722146823	 yo the best I offer you is you need to eat at this aggressively amazing pizza joint in Tokyo. get excited to travel again exclusively for that. SAVOY azabujuban, for real. this is not an exaggeration.	{'place_id': '1d9a5370a355ab0c'}
20665965	2020-11-18T05:47:42.000Z	1328937910205374468	 Considering that Chicago has had the travel quarantine in place for a while, this would have been a poor idea even without the spike. But there is a huge spike, this is the time to NOT travel and NOT gather even with precautions.	{'place_id': '98a64980f963518d'}
949416055981551616	2020-11-18T04:52:40.000Z	1328924058600267779	Agreed,thank you to   staff, players, and school staff for a great visit. 	{'place_id': '227d358f6ed8d29e'}
21984092	2020-11-18T04:14:04.000Z	1328914344269242369	  It’s the worst, but you’d have to hope that docs are spending the time they need with patients for a quality visit! That’s what my doc mom always says 🙃	{'place_id': '1d9a5370a355ab0c'}
3060575715	2020-11-18T04:06:46.000Z	1328912508036509696	Only if trump had THIS ENERGY TO STOP THE election to stop the VIRUS well be planning trips and opening up more restaurants and showing the world we can beat the virus.... but.... no. We cant travel, we got rules for holidays , were living with the virus.  	{'place_id': '1d9a5370a355ab0c'}
1033494480907894784	2020-11-18T03:54:20.000Z	1328909376917282817	 Friends, family, travel, eating out, spending a day at the mall, not being afraid that I might be helping to spread this virus, overnights with my grandchildren, hugs and kisses , watching my grandchildren participate in by their sports, etc!	{'place_id': '9458deb79984da4e'}
711935096366870528	2020-11-18T02:40:56.000Z	1328890905730936832	Hey ’s not just you affected when traveling for “fun” during a pandemic - it’s the families you won’t hear about - your taxi driver, airport worker, others that you really hurt. Not everyone has access to safely isolate, leave wages behind.  	{'place_id': '1d9a5370a355ab0c'}
96160935	2020-11-18T02:22:35.000Z	1328886290671169537	Hey at least we can fast travel on console in like 0s 	{'place_id': '1d9a5370a355ab0c'}
844932007075500034	2020-11-18T01:30:57.000Z	1328873295417139202	   They are a Bills fanAnd have a right to be BitchyAbout a Trailer Home and A Travel Trailor differanceWe want Magats to put wheelsBack on their Homes and go away Canada , Mexico , just getHawaii 	{'place_id': '1d9a5370a355ab0c'}
150083497	2020-11-18T01:28:55.000Z	1328872784831852544	To hell with people who would do crazy things w. Time travel. Id go to nickelodeon studios, browse service merchandise in 0, and find me some of of that purple/green ketchup	{'place_id': '99700cd6fc455c13'}
27870868	2020-11-18T00:50:59.000Z	1328863238579220489	“A lie can travel halfway around the world before the truth even gets a chance to tie its shoes.”I admit I got ahead of myself after reading headlines about the governor evading questions re: his own holiday travel plans. 	{'place_id': '1d9a5370a355ab0c'}
919274453955235841	2020-11-19T23:41:16.000Z	1329570467632603136	 Guess 0: Metal Bending Termites 🤣 Guess 0: When you place a refrigerator on top of a GPU during the shipping process, anything can happen but my best guess is aliens used the GPU for time travel and sent it back.	{'place_id': 'eb7b63633846877b'}
3301158974	2020-11-19T23:10:18.000Z	1329562674573832195	 omg let's visit it sounds perfect	{'place_id': '1d9a5370a355ab0c'}
14799496	2020-11-19T22:23:01.000Z	1329550777703084032		{'place_id': '1d9a5370a355ab0c'}
3125800171	2020-11-19T22:06:43.000Z	1329546675732549638	 We would love to have you visit (when its a thing again)!	{'place_id': '1d9a5370a355ab0c'}
617739538	2020-11-19T21:50:03.000Z	1329542479431995393	 Exactly! Rich and never lift a finger, travel but also never leave the house, shop but save money, eat pizza but not get fat. I could continue 😛	{'place_id': '1aa7803ca6707875'}
59681252	2020-11-19T20:53:37.000Z	1329528276050735107	How to serge without a serger?! Watch my new seeing tutorial all about this! Link in my profile or visit Sew Anastasia on YouTube! @ Sew Anastasia 	{'coordinates': {'type': 'Point', 'coordinates': [-87.67823696, 41.88775809]}, 'place_id': '1d9a5370a355ab0c'}
15244373	2020-11-19T20:37:51.000Z	1329524308071358482	A  “to be kind while being thankful” will save lives. The kindest, safest, and smartest way to celebrate is to limit your table to those with whom you live. Including others increases risk with the  or the flu. Be grateful at home!  	{'place_id': '0b9c2aedc0d4a001'}
3354320271	2020-11-19T19:49:17.000Z	1329512089317236737	My favorite thing I’ve seen today is a guy- who has been traveling MULTIPLE TIMES for leisure, including yesterday’s pics on a plane- calling out someone else who is posting about being upset places in Chicago are closing again.  	{'place_id': '1d9a5370a355ab0c'}
951897903546753024	2020-11-19T19:48:01.000Z	1329511767475695627	Had a great visit today at Benedictine! Thank you for the opportunity to visit  	{'place_id': '07d9e3bd81885001'}
1241719363922726919	2020-11-19T19:15:35.000Z	1329503608732323843	 this should be mandatory. DON’T travel unless absolutely necessary (ie funeral, medical, etc). No inside gatherings, period. Be with family/friends outside with masks, &gt;0ft. 	{'place_id': '1d9a5370a355ab0c'}
1209982882388856833	2020-11-19T19:07:23.000Z	1329501541498302466	Do you like our  ? Drop a 👍🏾 or 👎🏾 below..Lash Style:Emerald.Visit our website to get these pair of lashes today!.. Promo code: Kdc0 to save 0%  	{'coordinates': {'type': 'Point', 'coordinates': [-87.632496, 41.883222]}, 'place_id': '1d9a5370a355ab0c'}
2913415344	2020-11-19T19:02:22.000Z	1329500282280173573	Drumroll, please! For the first time ever, both new and existing customers get our best deals on the latest smartphones. You read that right. It's not too good to be true. Come visit us in Chicago to see for yourself!    	{'place_id': '1d9a5370a355ab0c'}
3125800171	2020-11-19T18:59:52.000Z	1329499650416635910	  I deserved that! When you get tired of ice fishing come visit us at the beach 😎	{'place_id': '1d9a5370a355ab0c'}
170872474	2020-11-19T18:30:25.000Z	1329492238779490306	WE ARE OPEN!!!Tier 0 mitigation begins Friday 0/0/0. Please visit out website  for more information.Thank you for supporting HealthTrack and keeping our door 🚪 OPEN. @ Glen Ellyn, Illinois 	{'coordinates': {'type': 'Point', 'coordinates': [-88.06305556, 41.87111111]}, 'place_id': 'd77ed7c9521c898d'}
1732873357	2020-11-19T18:21:46.000Z	1329490063584079879	To find a holiday distribution near you, visit We wouldn’t be able to provide this amount of food to our network without the support of our community. If you want to help out, donate or sign up for a volunteer session at 	{'place_id': '1d9a5370a355ab0c'}
251967868	2020-11-19T18:19:51.000Z	1329489581708865537	 I’m sorta pumped for another road game in LA. Hopefully we’re vaccinated by that point but I have a friend out there to visit and it’s a brand new stadium	{'place_id': '1d9a5370a355ab0c'}
14589993	2020-11-19T18:14:22.000Z	1329488202030309378	Tonight, Narrative Change Committee Members, Blair and Rquis will lead us in a conversation with journalists and leaders to discuss narratives that impact boys and men of color. Visit  to register.   	{'place_id': '1d9a5370a355ab0c'}
